Action,Position,Hand,Pot,P1-Action,P1-Bet,P2-Action,P2-Bet,P3-Action,P3-Bet,P4-Action,P4-Bet,P5-Action,P5-Bet
f,5,7305,1200.0,sb,50.0,bb,100.0,r,250.0,f,0.0,r,550.0
f,0,6337,1200.0,bb,100.0,r,250.0,f,0.0,r,550.0,f,0.0
f,1,6293,1200.0,f,0.0,r,250.0,f,0.0,r,550.0,f,0.0
f,2,5105,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,1717,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,5765,350.0,sb,50.0,bb,100.0,f,0.0,r,200.0,hold,0.0
f,5,4709,350.0,sb,50.0,bb,100.0,f,0.0,r,200.0,f,0.0
r,0,45,350.0,bb,100.0,f,0.0,r,200.0,f,0.0,f,0.0
f,1,6733,1200.0,r,650.0,f,0.0,r,200.0,f,0.0,f,0.0
f,2,7085,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,5545,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
r,4,881,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
c,5,1541,350.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,200.0
c,0,1453,550.0,bb,100.0,f,0.0,f,0.0,r,200.0,c,0.0
r,1,133,750.0,c,0.0,f,0.0,f,0.0,r,200.0,c,0.0
f,2,3961,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,6337,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,3521,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,3037,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
f,0,6997,400.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,250.0
f,1,6777,400.0,f,0.0,f,0.0,f,0.0,f,0.0,r,250.0
f,2,7261,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,4445,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,6117,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,4401,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
f,0,6337,375.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,225.0
f,1,5853,375.0,f,0.0,f,0.0,f,0.0,f,0.0,r,225.0
f,2,3741,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,6557,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,7085,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,6205,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
f,0,5369,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
r,2,1013,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,5721,350.0,sb,50.0,bb,100.0,r,200.0,hold,0.0,hold,0.0
f,4,1497,350.0,sb,50.0,bb,100.0,r,200.0,f,0.0,hold,0.0
c,5,1981,350.0,sb,50.0,bb,100.0,r,200.0,f,0.0,f,0.0
f,0,6249,550.0,bb,100.0,r,200.0,f,0.0,f,0.0,c,0.0
c,1,969,550.0,f,0.0,r,200.0,f,0.0,f,0.0,c,0.0
f,2,2465,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,4973,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,3873,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,7349,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
r,0,397,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
f,1,7173,450.0,r,300.0,f,0.0,f,0.0,f,0.0,f,0.0
f,2,4401,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
r,3,2201,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
c,4,485,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,hold,0.0
f,5,4621,600.0,sb,50.0,bb,100.0,f,0.0,r,225.0,c,0.0
f,0,7085,600.0,bb,100.0,f,0.0,r,225.0,c,0.0,f,0.0
f,1,6029,600.0,f,0.0,f,0.0,r,225.0,c,0.0,f,0.0
f,2,7041,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,4357,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
