Raise,Position,Hand,Pot,P1-Action,P1-Bet,P2-Action,P2-Bet,P3-Action,P3-Bet,P4-Action,P4-Bet,P5-Action,P5-Bet
200.0,2,89,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,2,1,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
475.0,4,617,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,hold,0.0
300.0,0,2729,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,2,45,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
1125.0,0,1,600.0,bb,100.0,r,225.0,f,0.0,f,0.0,c,0.0
250.0,5,1629,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,2,1145,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,5,485,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,5,2861,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,2,573,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,1585,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,2,1805,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,2817,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
625.0,0,177,350.0,bb,100.0,r,200.0,f,0.0,f,0.0,f,0.0
200.0,3,1145,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,5,1365,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,5,4533,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
1050.0,1,1,350.0,f,0.0,f,0.0,f,0.0,f,0.0,r,200.0
200.0,4,1145,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
900.0,0,793,350.0,bb,100.0,f,0.0,f,0.0,r,200.0,f,0.0
225.0,2,2729,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
725.0,0,1233,375.0,bb,100.0,r,225.0,f,0.0,f,0.0,f,0.0
200.0,4,1805,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,3,2729,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,3,1013,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
350.0,1,6117,150.0,c,0.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,4,2993,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,4,3301,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,4,1981,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,5,2685,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
775.0,0,1233,375.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,225.0
225.0,2,485,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,4,2685,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,3,441,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,2,133,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
525.0,5,441,350.0,sb,50.0,bb,100.0,r,200.0,f,0.0,f,0.0
225.0,4,1453,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,4,3961,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,4,4533,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,2,1673,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,1321,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
287.0,5,4753,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,3,1629,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,5,837,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
250.0,5,4753,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,4,1761,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,2,1673,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,1,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,5,1321,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
700.0,0,133,350.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,200.0
350.0,1,221,150.0,c,0.0,f,0.0,f,0.0,f,0.0,f,0.0
222.0,5,881,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
250.0,5,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
900.0,0,177,400.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,250.0
200.0,3,573,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,4,1145,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,4,397,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
300.0,0,2069,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,4,3301,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,2,353,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,133,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,2,1805,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
1125.0,0,353,600.0,bb,100.0,r,225.0,f,0.0,f,0.0,c,0.0
200.0,2,1101,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
500.0,4,1409,350.0,sb,50.0,bb,100.0,r,200.0,f,0.0,hold,0.0
1200.0,5,133,1050.0,sb,50.0,bb,100.0,r,200.0,f,0.0,r,500.0
225.0,2,1981,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
495.0,4,265,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,hold,0.0
300.0,0,4401,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,5,2245,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,3,705,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,4,2289,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,3,353,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,3,1541,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
300.0,0,441,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
200.0,2,1233,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,3,1805,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
650.0,0,1541,350.0,bb,100.0,f,0.0,r,200.0,f,0.0,f,0.0
250.0,0,4929,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
500.0,1,2069,400.0,r,250.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,5,3609,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,4,2025,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,4,1717,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,2,749,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
300.0,0,3301,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,3,1585,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,3,749,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
350.0,1,6249,150.0,c,0.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,2,309,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
250.0,5,3917,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,3,1277,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
300.0,0,1673,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
200.0,3,1893,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,4,881,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,3,1805,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,0,3521,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
200.0,4,1805,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,5,4313,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,3,265,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
250.0,5,4929,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
550.0,1,133,400.0,f,0.0,f,0.0,f,0.0,f,0.0,r,250.0
200.0,4,1717,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,2,45,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,4,4401,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,3,1013,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,3,1541,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
700.0,1,133,350.0,f,0.0,f,0.0,r,200.0,f,0.0,f,0.0
300.0,0,2421,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
200.0,5,4049,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
250.0,5,3609,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
300.0,0,3653,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,3,925,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,2,353,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,89,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
425.0,3,177,350.0,sb,50.0,bb,100.0,r,200.0,hold,0.0,hold,0.0
225.0,2,265,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,3,881,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,4,309,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
250.0,5,2157,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,5,1497,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
300.0,0,2377,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
600.0,1,3961,450.0,r,300.0,f,0.0,f,0.0,f,0.0,f,0.0
350.0,1,441,150.0,c,0.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,2,1277,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,485,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,4,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,3,1981,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,3,2201,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
300.0,0,4445,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,2,221,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,4,749,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
1000.0,0,1321,350.0,bb,100.0,f,0.0,f,0.0,r,200.0,f,0.0
225.0,2,749,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
300.0,0,1497,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,2,1321,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,4,1,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
